"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels","Alpha",
"2051.45 8","J","","","401.62 8","","","1649.831","2-","",
"2051.83 7","G  JK","4+","","817.8 3 ,    965.0 7 ,   1930.05 7","100 10 ,      57 7 ,",", ,","1233.863,    1085.841,     121.7818","3+, 2+, 2+","",
"2053.52 8","J","","","1243.06 9 ,   1931.74 16",",",",","810.453,     121.7818","2+, 2+","",
"2055.8 10","F","","","1348.9 10","","","706.928","6+","",
"2057.52 5","C  F    K M","7-","","137.08 5 ,    253.2 2 ,    329.4 1 ,    747.1 2 ,    931.9 2 ,   1350.9 4","100 9 ,      17,      13.9 13 ,      17 9 ,      65 13 ,      43 13","M1+E2, , , , ,","1920.46,    1803.94,    1728.27,    1310.505,    1125.39,     706.928","6-, 5-, 6+, 6+, 8+, 6+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2063.78 4","J","(1-,2,3-)","","383.21 9 ,   1022.68 6 ,   1100.41 5",",  ,",", ,","1680.56,    1041.122,     963.358","1-, 3-, 1-","",
"2069.31 8","J","0+,1,2,3-","","388.75 7 ,   1947.6 3",",",",","1680.56,     121.7818","1-, 2+","",
"2070.83 8","JK","3-,4,5-","","849.14 7 ,   1030.21 24","61 5 ,     100 7",",","1221.64,    1041.122","5-, 3-","",
"2079.57 4","F    K","10+","","200.52 4 ,    413.11 3 ,    470.36 5 ,    953.84 9","11.9 4 ,     100 3 ,      10.0 3 ,       8.5 3",", E2, M1,","1879.14,    1666.45,    1609.26,    1125.39","9-, 8+, 10+, 8+","",
"2091.21 4","A        JK","1-,2","","1050.10 5 ,   1127.84 5","100 7 ,      82 7",",","1041.122,     963.358","3-, 1-","",
"2091.66 7","A        J","","","1969.86 7","","","121.7818","2+","",
"2096.82 5","G  J","3+,4","","537.12 7 ,    725.13 5",",",",","1559.62,    1371.735","5+, 4+","",
"2112.71 5","J  MN","(2+,3,4+)","","1071.48 7 ,   1746.27 6 ,   1991.02 11",",  ,",", ,","1041.122,     366.4793,     121.7818","3-, 4+, 2+","",
"2120.98 7","C  F","7-","2.4 ns 2","63.51 5 ,    200.6 1","67 9 ,     100","[M1,E2], [M1,E2]","2057.52,    1920.46","7-, 6-","",
"2127.17 7","A        J","0+,1,2","","616.0 3 ,   1317.4 5 ,   2005.38 7","8 8 ,     100 8 ,      85 8",", ,","1510.790,     810.453,     121.7818","1-, 2+, 2+","",
"2129.84 5","J","(1+,2,3-)","","896.12 7 ,   1166.34 7",",",",","1233.863,     963.358","3+, 1-","",
"2137.69 6","J","","","1327.23 6","","","810.453","2+","",
"2137.92 6","J","(2+,3,4+)","","1771.33 10 ,   2016.17 7",",",",","366.4793,     121.7818","4+, 2+","",
"2138.17 12","K","2+","","1096.96 12 ,   1116.9 6 ,   1327.7 5 ,   1454.0 8","100 4 ,      15.9 19 ,      15.0 14 ,       7.0 10",", , ,","1041.122,    1022.970,     810.453,     684.751","3-, 4+, 2+, 0+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2139.71 4","F    K","8+","","260.60 23 ,    411.65 6 ,    633.85 5 ,   1014.28 4 ,   1432.93 19","1.12 15 ,      16.0 7 ,      19.4 7 ,     100 3 ,       8.9 4",", , , ,","1879.14,    1728.27,    1505.77,    1125.39,     706.928","9-, 6+, 7-, 8+, 6+","",
"2146 3","M","","","","","","","","",
"2148.81 5","F    K           W","12+","","539.50 3","","E2","1609.26","10+","",
"2167.0 6","A","0+,1,2","","2045.2 6","","","121.7818","2+","",
"2172.60 23","A","1,2+","","642.8 3 ,    661.7 4 ,   1488.1 6","67 7 ,     100 7 ,      13 7",", ,","1529.802,    1510.790,     684.751","2-, 1-, 0+","",
"2175.7 10","A","0+,1,2,3-","","2053.9 10","","","121.7818","2+","",
"2176.62 16","K","7-","","510.0,    670.7 3 ,    866.2 4 ,    955.03 20","21 4 ,      31 4 ,      38 4 ,     100 6",", , ,","1666.45,    1505.77,    1310.505,    1221.64","8+, 7-, 6+, 5-","",
"2194 3","LM","","","","","","","","",
"2201.20 12","A","0+,1,2","","2079.3 4","","","121.7818","2+","",
"2201.47 7","F    K","8-","","255.6 1 ,    271.3 1 ,    322.2 1 ,   1075 1","100 3 ,      18,       6.1 18 ,       7 4","E1, , ,","1945.90,    1930.17,    1879.14,    1125.39","7+, , 9-, 8+","",
"2206","F","7+","","260,    276,    478,   1081,   1499",",  ,  ,  ,",", , , ,","1945.90,    1929.93,    1728.27,    1125.39,     706.928","7+, 6-, 6+, 8+, 6+","",
"2214.98 7","F    K","8-","","157.3 1 ,    269.0 1 ,    294.4 1","100 10 ,      73,      89","M1+E2, , E2","2057.52,    1945.90,    1920.46","7-, 7+, 6-","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2224.8 5","A","1,2+","","2224.8 5","","","0.0","0+","",
"2227.71 22","K","(5-,6,7-)","","722.3 3 ,   1005.7 3","55 5 ,     100 10",",","1505.77,    1221.64","7-, 5-","",
"2237.3 5","A     G","1,2","","727.1 7 ,   1274.4 7 ,   2114.2 8","67 33 ,     100 33 ,      67 33",", ,","1510.790,     963.358,     121.7818","1-, 1-, 2+","",
"2239.8 3","A","2+","","1873.1 10 ,   2118.0 3 ,   2239.7 8","8 8 ,     100 8 ,      31 8",", ,","366.4793,     121.7818,       0.0","4+, 2+, 0+","",
"2263.9 4","K","6+,7,8+","","1138.3 5 ,   1557.1 4","45 5 ,     100 7",",","1125.39,     706.928","8+, 6+","",
"2268 5","N","2+","","","","","","","",
"2269.87 8","F","8-","","148.95 5","","M1+E2","2120.98","7-","",
"2284.96 20","A         K M","0,1,2","","1321.6 2","","","963.358","1-","",
"2287.4 10","A","0+,1,2,3-","","2165.6 10","","","121.7818","2+","",
"2290.37 7","F    K","9-","","623.9,    681.6 3 ,    783.9 4 ,   1165.0 2","52.1 24 ,      49 4 ,       7.5 9 ,     100 4",", D+Q, , E1","1666.45,    1609.26,    1505.77,    1125.39","8+, 10+, 7-, 8+","",
"2295.3 3","A","1-,2","","1253.2 6 ,   1332.0 4 ,   2175.0 8","100 25 ,      75 25 ,     100 25",", ,","1041.122,     963.358,     121.7818","3-, 1-, 2+","",
"2308.6 4","F","","","1183.2 4","","","1125.39","8+","",
"2308.9 5","A","1,2+","","2187.0 6 ,   2309.1 9","100 20 ,      80 20",",","121.7818,       0.0","2+, 0+","",
"2320.35 23","B","4+,5","","516.3 4 ,   1297.8 5 ,   1613.4 6 ,   1953.7 4","100 10 ,       7 7 ,      13 3 ,      30 7",", , ,","1803.94,    1022.970,     706.928,     366.4793","5-, 4+, 6+, 4+","",
"2326.94 5","F    K","11-","","448.18 23 ,    717.78 4","5.4 5 ,     100 3",", E1","1879.14,    1609.26","9-, 10+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2340 3","MN","","","","","","","","",
"2348.76 7","F    K","","","682.11 9 ,    843.36 17 ,   1223.47 9","55.9 23 ,      31.2 17 ,     100 4",", ,","1666.45,    1505.77,    1125.39","8+, 7-, 8+","",
"2359.8 3","F","","","1234.4 3","","","1125.39","8+","",
"2367.3 3","A","1-,2","","1326.4 3 ,   1403.0 6","60 20 ,     100 20",",","1041.122,     963.358","3-, 1-","",
"2375.49 7","F    K","9+","","174.28 12 ,    235.8 2 ,    429.35 9 ,    766.3 2 ,   1250.25 16","23.5 20 ,      33,      61 3 ,      40 4 ,     100 4",", , , M1+E2,","2201.20,    2139.71,    1946.15,    1609.26,    1125.39","0+,1,2, 8+, 0,1,2,3-, 10+, 8+","",
"2376.8 15","A","","","2255.0 15","","","121.7818","2+","",
"2388.79 8","F    K","9-","","173.8 1 ,    187.6 2 ,    331.3 1 ,    721.9 6","≤100,    ≤100,      33 27 ,     100 17",", , ,","2214.98,    2201.47,    2057.52,    1666.45","8-, 8-, 7-, 8+","",
"2391.7 3","F    K","8+","","727,    885.9 3 ,   1267",",  ,",", ,","1666.45,    1505.77,    1125.39","8+, 7-, 8+","",
"2402.23 14","B","3,4+","","645.7 3 ,   1591.6 3 ,   2280.2 3","100 9 ,      12 3 ,       9 3",", ,","1757.001,     810.453,     121.7818","4+, 2+, 2+","",
"2415 3","M","","","","","","","","",
"2423 10","N","","","","","","","","",
"2424.36 8","F","9-","","154.6 1 ,    303.5 1","100 10 ,      38","M1+E2,","2269.87,    2120.98","8-, 7-","",
"2445.90 8","K","9-","","567.1 3 ,    779.97 12 ,    939.80 9","9.4 11 ,      43.0 19 ,     100 4",", ,","1879.14,    1666.45,    1505.77","9-, 8+, 7-","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2458.6 3","K  N","8+","","1751.7 3","","","706.928","6+","",
"2482.00 20","B","3,4,5","","725.0 2","","","1757.001","4+","",
"2489 3","MN","","","","","","","","",
"2506.29 12","K","7-,8,9-","","628.4 9 ,   1000.50 11","20 3 ,     100 4",",","1879.14,    1505.77","9-, 7-","",
"2510.4 5","A       I","1(-)","0.0097 eV 25","2388.8 5 ,   2510.6 5","106 34 ,     100","[E1], [E1]","121.7818,       0.0","2+, 0+","",
"2510.59 8","F    K","10-","","135.13 5 ,    309.0 1 ,    631.5 3","77 8 ,     100 4 ,      42 5","E1, E2,","2375.49,    2201.47,    1879.14","9+, 8-, 9-","",
"2517.41 15","F    K M","","","638.00 18 ,    908.62 24","38 10 ,     100",",","1879.14,    1609.26","9-, 10+","",
"2525.69 5","F    K","12+","","198.83 6 ,    376.7 10 ,    446.13 3 ,    916.3 5","8.9 4 ,       4.6 5 ,     100 3 ,       7.3 4",", , E2,","2326.94,    2148.81,    2079.57,    1609.26","11-, 12+, 10+, 10+","",
"2541.6 4","I","1(+)","0.0058 eV 20","2419.8 5 ,   2541.6 5","62 30 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"2544","N","","","","","","","","",
"2567.06 17","B","4+,5","","1859.8 3 ,   2200.7 2","33 8 ,     100 17",",","706.928,     366.4793","6+, 4+","",
"2576.29 9","F","10-","","152.1 1 ,    187.6 2 ,    361.0 1","93 10 ,    <250,     100","M1(+E2), ,","2424.36,    2388.79,    2214.98","9-, 9-, 8-","",
"2588","F","9+","","195,   1463",",",",","2391.7,    1125.39","8+, 8+","",
"2589.02 16","B","4+,5","","584.8 2 ,   1217.7 4 ,   1881.8 3","100 30 ,       WEAK,      23 8",", ,","2003.66,    1371.735,     706.928","2+,3,4+, 4+, 6+","",
"2590.68 9","F","10-","","166.2 1 ,    202.0 2 ,    320.9 1 ,    375.5 3","44 5 ,      80 20 ,      17 5 ,     100 30","M1(+E2), , ,","2424.36,    2388.79,    2269.87,    2214.98","9-, 9-, 8-, 8-","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2599.36 14","K  N","7-,8+","","719.56 20 ,   1094.37 23 ,   1474.1 3 ,   1892.4","68 5 ,     100 7 ,      83 5 ,      76 5",", , ,","1879.14,    1505.77,    1125.39,     706.928","9-, 7-, 8+, 6+","",
"2612 3","M","","","","","","","","",
"2641.09 10","F    K","11-","","314.3 1 ,    493.0 2 ,    560.9 3 ,   1031.5 2","81 4 ,      59 24 ,      24,     100 5","(M1+E2), , , E1","2326.94,    2148.81,    2079.57,    1609.26","11-, 12+, 10+, 10+","",
"2643.4 4","I","1(-)","0.047 eV 5","2521.6 5 ,   2643.4 5","147 16 ,     100","[E1], [E1]","121.7818,       0.0","2+, 0+","",
"2662.47 5","K","10+","","372.11 6 ,    522.78 6 ,    583.04 6 ,   1052.98 9 ,   1536.73 14","53.3 23 ,      62.1 24 ,     100 4 ,      74 3 ,      52.9 20",", , , ,","2290.37,    2139.71,    2079.57,    1609.26,    1125.39","9-, 8+, 10+, 10+, 8+","",
"2663.4 4","I","1(+)","0.0088 eV 26","2541.6 5 ,   2663.4 5","31 13 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"2687.8 10","A","0+,1,2","","2566.0 10","","","121.7818","2+","",
"2697 3","M","","","","","","","","",
"2712.5 3","F","","","1103.2 3","","","1609.26","10+","",
"2736.19 6","F    K           W","14+","","587.37 3","","","2148.81","12+","",
"2751.51 10","F","11-","","160.8 2 ,    175.1 1 ,    327.3 1 ,    362.4 3","<103,    <102,     100 7 ,      67 10",", , ,","2590.68,    2576.29,    2424.36,    2388.79","10-, 10-, 9-, 9-","",
"2808.92 11","K","11-","","728.48 15 ,    930.64 15","75 4 ,     100 5",",","2079.57,    1879.14","10+, 9-","",
"2810","F","(10+)","","730,    931",",",",","2079.57,    1879.14","10+, 9-","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2818.1 4","I","1(+)","0.0141 eV 26","2696.3 5 ,   2818.1 5","62 16 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"2832.85 16","K","11+","","457.1 3","","","2375.49","9+","",
"2833.30 6","F    K","13-","","506.26 9 ,    684.44 6","17.3 8 ,     100 3",", E1","2326.94,    2148.81","11-, 12+","",
"2841.89 10","F    K","","","515.20 10 ,    692.52 15","94 5 ,     100 5",",","2326.94,    2148.81","11-, 12+","",
"2887.3 4","I","1(+)","0.012 eV 3","2765.5 5 ,   2887.3 5","36 17 ,     100 30","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"2891.7 4","I","1(+)","0.028 eV 4","2769.9 5 ,   2891.7 5","35 6 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"2895.49 12","B","4+","","493.3 2 ,   1524.5 4 ,   1810.5 4 ,   2188.6 2 ,   2528.5 2","100 23 ,      15 7 ,      38 23 ,      54 15 ,      77 15",", , , ,","2402.23,    1371.735,    1085.841,     706.928,     366.4793","3,4+, 4+, 2+, 6+, 4+","",
"2898.6 3 ?","B","","","854.1 3","","","2044.45","3,4+","",
"2901.39 13","F","12-","","390.8 1","","E2","2510.59","10-","",
"2905.17 10","K","10+","","756.4,   1026.48 14 ,   1295.98 17 ,   1779.05 17","8.4 21 ,      65 3 ,      76 4 ,     100 4",", , ,","2148.81,    1879.14,    1609.26,    1125.39","12+, 9-, 10+, 8+","",
"2925.5 10","A","0+,1,2","","2803.7 10","","","121.7818","2+","",
"2930.6 4","I","1(+)","0.078 eV 5","2808.8 5 ,   2930.6 5","50 4 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"2939.3 4","I","1(+)","0.0036 eV 25","2817.5 5 ,   2939.3 5","48 47 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"2946.8 4","I","1(-)","0.013 eV 6","2825.0 5 ,   2946.8 5","180 90 ,     100","[E1], [E1]","121.7818,       0.0","2+, 0+","",
"2976.87 6","F    K","14+","","451.25 4 ,    827.6 3","100 4 ,       6.9 5","E2,","2525.69,    2148.81","12+, 12+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2991.6 4","I","1(+)","0.039 eV 5","2869.8 5 ,   2991.6 5","41 8 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"3012.6 4","I","1(+)","0.015 eV 4","2890.8 5 ,   3012.6 5","47 20 ,     100",", [M1]","121.7818,       0.0","2+, 0+","",
"3025.3 4","I","1(+)","0.059 eV 4","2903.5 5 ,   3025.3 5","43 4 ,     100",", [M1]","121.7818,       0.0","2+, 0+","",
"3027","F","11+","","440","","","2588","9+","",
"3080.1 3","F    K","13-","","931.3 3","","","2148.81","12+","",
"3090.2 4","I","1(+)","0.078 eV 5","2968.4 5 ,   3090.2 5","67 6 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"3107.9 4","I","1(-)","0.032 eV 7","2986.1 5 ,   3107.9 5","100 35 ,      92 32","[E1], [E1]","121.7818,       0.0","2+, 0+","",
"3122.6 5","I","","0.0091 eV 11","3000.8S,   3122.6 5","<13,     100",",","121.7818,       0.0","2+, 0+","",
"3128.33 21","K","12+","","979.51 20","","","2148.81","12+","",
"3262.9 3","K","10+,11,12+","","1113.8 3 ,   1654.6 6","97 7 ,     100 9",",","2148.81,    1609.26","12+, 10+","",
"3281.7 4","I","1(+)","0.022 eV 4","3159.9 5 ,   3281.7 5","52 12 ,     100","[M1], [M1]","121.7818,       0.0","2+, 0+","",
"3292.82 7","K","14+","","316.03 5 ,    459.34 8 ,    556.49 18 ,    766.6","87 3 ,      64 3 ,      27.7 19 ,     100 4",", , ,","2976.87,    2833.30,    2736.19,    2525.69","14+, 13-, 14+, 12+","",
"3352.26 13","K","12+","","1026.32 25 ,   1203.32 16 ,   1742.0 3","61 4 ,     100 4 ,      57 3",", ,","2326.94,    2148.81,    1609.26","11-, 12+, 10+","",
"3365.02 6","F    K           W","16+","","628.82 3","","","2736.19","14+","",
"3378.39 24","F","14-","","477.0 2","","","2901.39","12-","",
"3383.35 8","F    K","15-","","550.42 17 ,    647.14 7","28.1 19 ,     100 4",",","2832.85,    2736.19","11+, 14+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"3390.90 22","K","13-","","1063.95 21","","","2326.94","11-","",
"3422.1 4","I","1(-)","0.053 eV 17","3300.3 5 ,   3422.1 5","230 80 ,     100","[E1], [E1]","121.7818,       0.0","2+, 0+","",
"3462.95 13","K","16+","","486.1,    726.88 18","100 6 ,      25.4 18",",","2976.87,    2736.19","14+, 14+","",
"3708.8 4","I","","0.0144 eV 25","3587.0 5 S,   3708.8 5","<18,     100",",","121.7818,       0.0","2+, 0+","",
"3794.1 4","I","","0.0123 eV 26","3672.3 5 S,   3794.0 5","25,     100",",","121.7818,       0.0","2+, 0+","",
"3857.16 9","K","16+","","394.19 16 ,    473.75 10 ,    564.36 11 ,    880.53 20","56 5 ,      99 5 ,     100 5 ,      54 4",", , ,","3462.95,    3383.35,    3292.82,    2976.87","16+, 15-, 14+, 14+","",
"3882.6 4","I","","0.018 eV 3","3760.8 5 ,   3882.6 5","20,     100",",","121.7818,       0.0","2+, 0+","",
"3931.2 4","K","14+","","1194.8 6 ,   1783.2 5","25.0 24 ,     100 9",",","2736.19,    2148.81","14+, 12+","",
"3973.2 5","K","17-","","589.9 10 ,    608.2 5","87 26 ,     100 17",",","3383.35,    3365.02","15-, 16+","",
"4004.64 17","K","18+","","542.1 3 ,    639.47 18","100 13 ,      82 6",",","3462.95,    3365.02","16+, 16+","",
"4047.7 12","K","18+","","585.98 8 ?,    681.54 5 ?","60.8 24 ,     100 4",",","3462.95,    3365.02","16+, 16+","",
"4524.8 23","K","16+","","1788.6 23","","","2736.19","14+","",
"4749.56 15","K","20+","","701.86 15","","","4047.7","18+","",
"8257.7+X 7","Y","","","","","","","","",
"11.3E+3","X","0+","","","","","","","",
"11.53E+3 14","X","2+","","","","","","","",
"12.8E+3 4","X","1-","","","","","","","",
"13.2E+3 38","X","3-","","","","","","","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"14.9E+3 4","X","2+","","","","","","","",
"15.44E+3","X","0+","","","","","","","",
"23E+3 4","X","3-","","","","","","","",
"25.1E+3 10","X","1-","","","","","","","",

